Entry	Entry name	Status	Protein_names	Gene_names	Organism	AA_Length	Taxonomic lineage (ALL)	Organism ID
B2LS11	B2LS11_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (Fragment)		Achromobacter sp. GKA-1	265	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. GKA-1"	511053
A0A0D3RUC8	A0A0D3RUC8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (Fragment)	acdS	Achromobacter sp. HZ167	209	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. HZ167"	1623406
A0A1V1ZVJ5	A0A1V1ZVJ5_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BMR85_16005	Achromobacter sp. KAs 3-5	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. KAs 3-5"	1915388
A0A0U1QJW4	A0A0U1QJW4_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS YH64_01110	Achromobacter sp. LC458	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. LC458"	1120623
A0A1N7QUE8	A0A1N7QUE8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS SAMN05428937_3298	Achromobacter sp. MFA1 R4	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. MFA1 R4"	1881016
A0A0Q8JKY0	A0A0Q8JKY0_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASD87_09345	Achromobacter sp. Root170	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. Root170"	1736480
A0A0Q8BPN7	A0A0Q8BPN7_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASD71_18290	Achromobacter sp. Root565	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. Root565"	1736564
A0A0Q8X2D0	A0A0Q8X2D0_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASE30_06830	Achromobacter sp. Root83	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. Root83"	1736602
A0A095V6S4	A0A095V6S4_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS JL37_07070	Achromobacter sp. RTa	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter sp. RTa"	1532557
A0A0L0QZ66	A0A0L0QZ66_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AFM18_26125	Achromobacter spanius	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Achromobacter spanius"	217203
E3HUL8	E3HUL8_ACHXA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AXYL_01643	Achromobacter xylosoxidans (strain A8)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Achromobacter, Alcaligenes xylosoxydans xylosoxydans (Achromobacter xylosoxidans), Achromobacter xylosoxidans (strain A8)"	762376
F0J286	F0J286_ACIMA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ACMV_24830	Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU301)	338	"cellular organisms, Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Acidiphilium, Acidiphilium multivorum, Acidiphilium multivorum (strain DSM 11245 / JCM 8867 / NBRC 100883 / AIU301)"	926570
A0A1Q7MTI2	A0A1Q7MTI2_9BACT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AUJ01_11110	Acidobacteria bacterium 13_1_40CM_3_65_5	347	"cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, unclassified Acidobacteria (miscellaneous), Acidobacteria bacterium 13_1_40CM_3_65_5"	1803450
A0A1Q7K1T3	A0A1Q7K1T3_9BACT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AUH72_07865	Acidobacteria bacterium 13_1_40CM_4_65_8	347	"cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, unclassified Acidobacteria (miscellaneous), Acidobacteria bacterium 13_1_40CM_4_65_8"	1803456
A0A1Q7GU59	A0A1Q7GU59_9BACT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AUH43_21935	Acidobacteria bacterium 13_1_40CM_65_14	347	"cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, unclassified Acidobacteria (miscellaneous), Acidobacteria bacterium 13_1_40CM_65_14"	1803459
A0A1F2VK52	A0A1F2VK52_9BACT	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A3J29_11000	Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b	349	"cellular organisms, Bacteria, Acidobacteria, unclassified Acidobacteria, unclassified Acidobacteria (miscellaneous), Acidobacteria bacterium RIFCSPLOWO2_12_FULL_67_14b"	1797193
F0Q8F7	F0Q8F7_ACIAP	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS Acav_4387	Acidovorax avenae (strain ATCC 19860 / DSM 7227 / JCM 20985 / NCPPB 1011)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax avenae, Acidovorax avenae subsp. avenae, Acidovorax avenae (strain ATCC 19860 / DSM 7227 / JCM 20985 / NCPPB 1011)"	643561
A1TVP2	1A1D_ACIAC	reviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS Aave_4493	Acidovorax citrulli (strain AAC00-1) (Acidovorax avenae subsp. citrulli)	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax citrulli (Acidovorax avenae subsp. citrulli), Acidovorax citrulli (strain AAC00-1) (Acidovorax avenae subsp. citrulli)"	397945
B9MGI8	1A1D_ACIET	reviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS Dtpsy_3150	Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY))	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax ebreus, Acidovorax ebreus (strain TPSY) (Diaphorobacter sp. (strain TPSY))"	535289
A1WCK9	A1WCK9_ACISJ	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS Ajs_3877	Acidovorax sp. (strain JS42)	356	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. (strain JS42)"	232721
A0A1Q3J9Z3	A0A1Q3J9Z3_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (Fragment)	BGN90_10600	Acidovorax sp. 65-7	318	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. 65-7"	1895692
J1EQ58	J1EQ58_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS PMI14_00734	Acidovorax sp. CF316	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. CF316"	1144317
A0A165JF76	A0A165JF76_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS A1D30_20915	Acidovorax sp. GW101-3H11	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. GW101-3H11"	1813946
K0HY89	K0HY89_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS C380_21680	Acidovorax sp. KKS102	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. KKS102"	358220
A0A0Q5L1G3	A0A0Q5L1G3_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASF94_14150	Acidovorax sp. Leaf160	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Leaf160"	1736280
A0A0S9E755	A0A0S9E755_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASF11_13980	Acidovorax sp. Leaf76	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Leaf76"	1736236
A0A0Q4RLD8	A0A0Q4RLD8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASF16_16660	Acidovorax sp. Leaf78	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Leaf78"	1736237
A0A0A1VCR1	A0A0A1VCR1_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AVS7_01158	Acidovorax sp. MR-S7	337	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. MR-S7"	1268622
A0A1B3PHD5	A0A1B3PHD5_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS BSY15_995	Acidovorax sp. RAC01	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. RAC01"	1842533
A0A0Q8SLD4	A0A0Q8SLD4_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASE31_27520	Acidovorax sp. Root217	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Root217"	1736492
A0A0Q8SPD7	A0A0Q8SPD7_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASE28_26950	Acidovorax sp. Root219	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Root219"	1736493
A0A0Q9CC37	A0A0Q9CC37_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASE52_24060	Acidovorax sp. Root275	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Root275"	1736508
A0A0Q6ZH93	A0A0Q6ZH93_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASC83_15265	Acidovorax sp. Root402	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Root402"	1736527
A0A0Q8L1G9	A0A0Q8L1G9_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ASD94_14075	Acidovorax sp. Root70	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. Root70"	1736590
A0A1E3Z0D7	A0A1E3Z0D7_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ABS37_01070	Acidovorax sp. SCN 65-108	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. SCN 65-108"	1660085
A0A1E3ZVA8	A0A1E3ZVA8_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS ABS39_03665	Acidovorax sp. SCN 65-28	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. SCN 65-28"	1660086
A0A0Q0T849	A0A0Q0T849_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS AE621_26810	Acidovorax sp. SD340	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax sp. SD340"	1690268
A0A0D7K9U2	A0A0D7K9U2_9BURK	unreviewed	1-aminocyclopropane-1-carboxylate deaminase (ACC deaminase) (ACCD) (EC 3.5.99.7)	acdS RP29_09685	Acidovorax temperans	338	"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Comamonadaceae, Acidovorax, Acidovorax temperans"	80878
A0A0B9WQM3	A0A0B9WQM3_ACIBA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	IX87_18185	Acinetobacter baumannii	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter baumannii"	470
U1VA52	U1VA52_ACIBA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	N173_10490	Acinetobacter baumannii EGD-HP18	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter baumannii, Acinetobacter baumannii EGD-HP18"	1358412
A0A101C099	A0A101C099_ACIBZ	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	NDM229_09030	Acinetobacter bereziniae (Acinetobacter genomosp. 10)	289	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter bereziniae (Acinetobacter genomosp. 10)"	106648
A0A1A0GFL4	A0A1A0GFL4_ACICA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A9988_16940	Acinetobacter calcoaceticus	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter calcoaceticus"	471
A0A1C3CYB8	A0A1C3CYB8_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BBP83_05560	Acinetobacter celticus	288	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter celticus"	1891224
A0A0N9VYQ6	A0A0N9VYQ6_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AOY20_00280	Acinetobacter equi	294	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter equi"	1324350
A0A1A7R892	A0A1A7R892_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A9J31_05265	Acinetobacter gandensis	290	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter gandensis"	1443941
A0A1V2V8W4	A0A1V2V8W4_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AC057_01550	Acinetobacter genomosp. 33YU	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter genomosp. 33YU"	1675530
A0A1B8UBF5	A0A1B8UBF5_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	NG55_13575	Acinetobacter gyllenbergii	288	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter gyllenbergii"	134534
A0A137XME4	A0A137XME4_ACIHA	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AYL20_11380	Acinetobacter haemolyticus	288	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter haemolyticus"	29430
A0A098YHI6	A0A098YHI6_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	GS19_10275	Acinetobacter idrijaensis	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter idrijaensis"	1507807
A0A0F3LJB5	A0A0F3LJB5_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	VH96_10980	Acinetobacter indicus	286	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter indicus"	756892
A0A0W8H2I9	A0A0W8H2I9_ACIJO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AAU60_04265	Acinetobacter johnsonii	289	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter johnsonii"	40214
A0A0U3TFF6	A0A0U3TFF6_ACIJO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	RZ95_12360	Acinetobacter johnsonii XBB1	289	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter johnsonii, Acinetobacter johnsonii XBB1"	1242245
S7XMH9	S7XMH9_ACIJU	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	L292_1677	Acinetobacter junii MTCC 11364	288	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter junii, Acinetobacter junii MTCC 11364"	1330047
A0A151YT31	A0A151YT31_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	AWW73_12215	Acinetobacter lactucae	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter lactucae"	1785128
A0A1B2LX89	A0A1B2LX89_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BFG52_02795	Acinetobacter larvae	303	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter larvae"	1789224
A0A0A7XLI4	A0A0A7XLI4_ACINO	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	RR32_14335	Acinetobacter nosocomialis	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter nosocomialis"	106654
A0A0B2U892	A0A0B2U892_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	DH17_14840	Acinetobacter oleivorans	288	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter oleivorans"	1148157
A0A1C2PGB1	A0A1C2PGB1_ACIPI	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BFR81_17630	Acinetobacter pittii (Acinetobacter genomosp. 3)	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter pittii (Acinetobacter genomosp. 3)"	48296
A0A1E7QYL4	A0A1E7QYL4_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BJD20_09525	Acinetobacter proteolyticus	290	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter proteolyticus"	1776741
A0A1E7RDQ2	A0A1E7RDQ2_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BJI46_10245	Acinetobacter qingfengensis	284	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter qingfengensis"	1262585
A0A1C2XZL3	A0A1C2XZL3_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	A7P21_10910	Acinetobacter seifertii	293	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter calcoaceticus/baumannii complex, Acinetobacter seifertii"	1530123
A0A1P8EJA5	A0A1P8EJA5_9GAMM	unreviewed	1-aminocyclopropane-1-carboxylate deaminase	BEN76_09820	Acinetobacter soli	290	"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter, Acinetobacter soli"	487316
